genename,geneCategory,subcategory1,subcategory2,source,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0
TehB,Metal Homeostasis,Tellurium,Detoxification,Archaea;phylum,8874.041,8877.191,9583.245,8289.98,9938.569,9087.645,7761.05,9885.982,9723.111,10015.408,8734.696,9486.733,9929.654,8889.285,9217.019,11698.601,9910.871,10917.066,9218.406,9735.199,9886.01,10056.765,9057.152,10262.877,11882.622,10203.851,8986.969,10487.049,10857.525,10382.195,9871.944,10755.553,11474.541,9131.272,9208.544,9416.12,9661.052,9074.575,9137.066,9677.604,9521.554,9453.631,10485.625,9818.583,10374.593,9505.005,8428.167,9930.047
TerC,Metal Homeostasis,Tellurium,Detoxification,,137603.622,139056.9326,142200.6107,136873.9286,131017.4555,138337.4524,144564.1087,115772.969,106418.453,122558.8608,127833.7892,125170.1167,118181.4221,125115.2609,132491.4049,81853.069,104512.916,114030.4911,117631.6741,126916.4814,114783.7392,112008.3058,118753.1325,109113.6492,110354.1953,106087.8566,114513.1021,106581.7071,105364.2557,103981.5637,111389.9754,103445.7986,88349.9154,128851.5371,129419.7206,123800.2344,101327.2249,133412.8666,124083.0597,118660.9144,111569.6294,110197.091,98368.6102,102382.1647,86229.1919,110429.3263,114465.1674,106433.6223
TerD,Metal Homeostasis,Tellurium,Transport,Bacteria;,8691.3022,8836.3067,9173.4267,10781.8728,8523.4991,9015.1982,8396.1057,9527.6351,8014.981,8855.1674,9207.2416,9044.1602,8912.363,9094.8254,10630.7295,10857.804,9281.18,9708.007,8449.3533,8775.1983,9706.2661,8813.138,13881.2975,9241.745,10125.6222,8424.2755,8022.2912,17140.666,8375.3412,11115.5885,11666.4609,10740.7284,10078.2632,8768.622,8317.777,9707.7434,9839.3729,10841.865,14685.867,9920.469,8752.8397,8218.4299,8716.552,10918.0072,7487.866,9801.5655,9466.3638,10323.6352
TerZD,Metal Homeostasis,Tellurium,Transport,Bacteria;,43459.2297,41592.0716,44766.579,43707.19,42979.7091,43623.8818,43158.4813,42420.8535,39155.877,41659.081,41166.0109,43374.4211,39731.3728,40404.435,42529.9258,41201.374,41137.555,40211.7699,39472.1137,40858.7077,41836.6034,41810.8066,41823.3386,41258.6706,41568.9908,42332.0811,43504.3464,42469.8996,39348.9422,41419.1482,41165.2401,40770.2943,39932.6226,45136.0116,47604.6863,42979.2465,38105.0128,43456.9361,46625.1377,43441.1365,41976.1142,42233.6844,40677.6613,42547.2929,41518.0021,44225.935,43643.1086,42521.1646
Yiip_fieF,Metal Homeostasis,Zinc,Transport,Bacteria;phylum,3492.121,3563.838,3351.845,3431.388,3551.426,3672.068,3645.777,3190.643,2882.485,2995.465,3304.573,3117.842,2748.517,3362.824,3726.392,2771.363,2708.647,2508.059,2319.365,2866.457,2595.092,3049.483,2214.668,2594.481,3204.72,2918.57,3667.602,3865.702,3269.91,3210.261,3282.8,2763.403,2395.304,3544.152,3987.035,3050.689,2655.569,3828.504,3923.291,3436.468,3386.635,3301.145,2847.811,3523.033,2987.549,3939.858,3693.092,3410.007
ZnuA,Metal Homeostasis,Zinc,Transport,Bacteria;phylum,2757.383,3291.345,3150.521,2518.062,3473.61,3223.892,2922.993,5765.365,3364.266,3601.041,2942.551,4195.356,3385.539,3470.016,3655.027,4766.661,2973.813,3711.768,3628.528,4281.698,3358.012,3911.492,2772.618,3955.127,4271.311,3527.16,4042.276,3410.081,4227.427,2996.004,3486.547,3885.226,4468.55,2963.064,2300.565,2915.009,3723.43,3596.981,2145.101,2606.721,3287.121,3232.919,3352.718,3603.01,3354.608,3318.962,3720.943,4481.328
ZupT_ygiE,Metal Homeostasis,Zinc,Transport,Archaea;phylum,2145.322,2142.46,1944.474,1267.119,2043.056,1732.068,1484.152,2118.559,2165.496,1924.872,2006.159,2161.468,1967.272,1697.763,1889.355,3954.553,2303.886,2710.177,1771.272,2151.526,2055.226,1699.341,1681.279,2026.784,1733.138,3005.121,1842.669,2619.241,1767.667,2430.455,2026.208,2327.012,2181.378,1834.512,2112.119,1679.8,2071.946,1880.223,2229.633,1979.916,1822.831,2144.462,1882.888,2322.139,1665.044,1825.403,1758.446,1627.283
B_lactamase,Microbial Defense,Antibiotic resistance,Degradation,Bacteria;,7608.147033,7950.591509,7075.526168,7914.758662,7846.319645,7577.32739,7777.167904,8718.997217,7354.796511,8235.250272,8305.771381,7718.508651,8381.132547,8220.279981,8208.028926,9914.707233,7982.25277,9287.390271,8061.083557,8772.541439,8951.059033,8453.679416,7858.016802,8286.575786,8558.429698,8119.316258,7428.203008,7829.270317,8560.349231,7292.425083,7507.267139,8372.466237,9321.428464,8173.379483,8406.288008,8455.622597,8801.329335,8150.186004,7748.626197,8597.415438,7084.299348,7988.729171,8259.789955,7658.937892,8360.693311,8243.782727,7182.414494,8881.593761
B_lactamase_C,Microbial Defense,Antibiotic resistance,Degradation,Archaea;phylum,6269.393074,6559.393967,6727.793278,7525.647825,7673.273758,6132.64359,5911.803919,7164.008716,5136.660623,5703.058864,4491.401173,6322.551227,7078.343004,7049.828933,5187.262045,9492.851217,6838.69704,7234.930054,6269.828055,5761.860988,7293.745797,6312.142189,7217.592793,6259.416857,6855.970717,6924.991761,6157.726166,6615.036597,7225.307401,6148.817539,6552.801719,6686.497583,9208.731917,6851.377035,6659.690208,7851.717615,6829.903458,6862.764291,6589.724717,6446.252552,6703.834463,6946.725896,7861.396193,5668.66999,6699.690793,7434.528247,5930.571436,8291.664299
Cas10_Crm2,Microbial Defense,CRISPR,na,Archaea;phylum,808.1273,862.026,864.9343,935.3759,948.4557,1067.15,713.3827,1067.432,0,1188.916,1008.705,1003.567,813.3529,1289.684,1157.022,982.3327,926.62,812.7971,657.9164,813.9518,901.8409,911.9394,988.481,900.8353,948.2831,749.5153,1161.811,1231.645,782.067,945.7228,1140.39,654.9324,1077.214,1125.526,1093.886,1082.357,646.1012,1199.089,1141.395,891.8024,759.385,890.664,834.1079,924.4978,0,1014.4,903.4233,802.4581
Cas2,Microbial Defense,CRISPR,na,Archaea;phylum,1139.23,1419.674,1342.863,1398.276,1428.811,1303.435,1386.321,1280.965,1478.139,1520.087,1184.509,1381.527,1675.099,1410.18,1509.718,1719.211,1727.606,1644.438,1532.38,1529.544,1524.491,1643.67,1389.69,1663.848,1304.196,1625.036,1461.011,1473.793,1452.598,1497.471,1549.816,1515.977,1520.173,1439.53,1406.154,1454.556,1511.509,1441.155,1341.335,1843.919,1563.694,1427.733,1803.729,1592.244,1947.801,1469.035,1254.784,1626.105
Cas3,Microbial Defense,CRISPR,na,Archaea;phylum,963.5615,1034.195,1188.522,967.6363,1189.114,797.1028,821.5596,1010.864,0,918.5747,880.3752,815.8872,1061.51,972.4682,890.3423,590.2041,0,925.7964,801.546,1127.892,1090.223,939.2766,890.7624,0,930.2347,973.6518,980.5037,1416.988,972.8869,1674.215,1047.284,1145.522,877.2648,1048.268,814.2148,906.803,1219.961,837.591,1079.643,945.5166,1124.59,1020.392,1215.571,1134.22,0,1071.983,1263.64,984.3868
Cas4,Microbial Defense,CRISPR,na,Archaea;phylum,3968.1722,4099.719,4488.228,3807.48,3181.8025,4375.532,5039.566,3891.336,3141.652,4447.769,5440.299,4540.5311,2955.784,3784.334,5157.158,3735.97,4467.889,3339.8777,5181.2927,4530.6165,4256.9967,4302.556,4653.3399,4759.65,4421.816,3507.8536,4726.7445,4465.0689,3528.266,5325.38,3662.2723,4126.359,2979.2683,3633.132,4337.106,3785.619,4588.8927,3570.467,3604.6087,4878.893,4891.841,3824.2151,3979.5665,6390.143,2961.609,5040.023,5287.325,4826.301
Cas6,Microbial Defense,CRISPR,na,Archaea;phylum,40239.232,41671.973,36324.612,37051.726,38907.74,40022.736,38636.581,43489.408,44074.678,43078.527,35767.9,40201.991,49148.03,43646.066,44283.051,43748.696,46411.663,50330.419,48686.123,48789.113,47996.19,49044.712,48204.663,44215.461,48267.297,48995.942,43820.818,41655.686,43604.89,49418.438,47954.869,49867.143,57391.772,45093.461,41597.369,43531.295,51418.765,42162.81,39653.319,47300.568,47922.894,50525.352,50056.558,46872.322,53304.267,50187.912,46188.88,49347.462
Cas6e,Microbial Defense,CRISPR,na,Bacteria;genus,10036.5,10849.73,12102.15,10336.3,10249.23,12422.21,11344.49,8394.415,7952.294,10175.36,10357.12,10450.86,9380.923,9628.416,9591.002,9951.37,8320.867,9397.915,9559.655,9277.677,9460.657,9210.471,9883.84,8291.467,6610.913,7302.237,7957.833,7765.083,6793.516,7397.257,7626.986,7169.268,6419.121,10663.08,11081.42,10871.29,8323.853,10820.68,10289.5,10050.48,8627.353,7626.75,6714.636,8547.806,7132.314,8121.636,8036.068,7516.175
Cas8b,Microbial Defense,CRISPR,na,Archaea;phylum,1076.371,1484.366,1175.004,1158.424,1217.263,1563.852,1259.462,1050.397,1470.239,1085.211,1315.993,984.908,1222.162,1533.592,1637.039,963.0734,1164.015,1215.201,1229.979,1471.075,983.8582,1190.147,1278.018,1206.575,1129.62,1225.268,1235.466,1303.91,1352.665,1722.257,1201.262,1196.149,913.3165,1084.451,1194.406,1011.598,1272.513,1143.495,1297.004,1314.154,1285.395,1084.537,901.75,1228.73,1069.695,1606.392,1712.312,1611.251
Cas8c,Microbial Defense,CRISPR,na,Bacteria;phylum,779.619,675.2882,0,0,0,1938.383,591.7014,733.6715,1615.33,618.5053,0,0,0,1034.17,1125.832,1420.909,0,0,1846.884,556.7806,764.4861,2086.759,1011.955,0,821.9364,689.7344,1251.166,695.1865,825.5861,2478.752,980.9949,1814.822,693.4399,641.964,990.8655,712.9378,676.5471,938.6054,1112.142,682.0632,780.0159,0,1812.811,920.9966,0,1048.974,1327.852,800.9766
Cmr4,Microbial Defense,CRISPR,na,Archaea;phylum,5261.463,4017.033,4712.257,5780.657,4125.261,5206.65,5225.472,4154.34,3709.012,4042.093,4149.065,5554.389,4861.873,5028.608,8250.757,3922.59,4751.13,3874.875,3074.854,3598.008,3895.974,4485.692,8952.443,3284.566,6110.044,3271.786,5018.653,13240.04,3594.367,7814.88,7198.35,5181.102,3824.565,4513.753,4689.137,4684.703,4534.781,8443.044,13278.97,6393.152,5003.942,3888.478,2977.706,5489.963,3629.313,6876.364,8183.091,6158.972
Cmr5,Microbial Defense,CRISPR,na,Archaea;phylum,0,781.1764,646.6559,695.8936,1048.629,794.1859,836.4442,864.7889,0,623.6057,837.0252,1389.307,689.0087,796.0587,901.8942,765.9884,757.0666,837.0751,787.7594,1021.452,830.527,657.1311,694.3939,0,797.0093,998.0888,853.7991,1359.362,1049.996,952.7715,875.1273,853.7626,875.1021,880.9159,683.8838,673.9535,798.6998,866.0441,727.0145,712.9953,662.6556,817.377,963.7364,1057.272,846.6782,914.2102,863.3652,968.16
Csa5,Microbial Defense,CRISPR,na,Archaea;phylum,3807.918,3087.196,3092.692,3474.676,2878.564,3280.831,2476.505,4343.055,3057.966,3588.404,2495.93,2008.202,3180.63,2295.233,2453.219,5579.411,3724.791,3564.129,3296.607,3046.277,3160.639,2849.368,2723.812,4787.129,4228.12,4681.316,3789.675,3579.892,3826.324,3656.169,3468.608,4189.215,3493.652,3337.226,3575.514,3414.745,2748.847,3581.227,3201.597,3011.9,3628.461,3540.405,3390.475,3472.443,3180.318,1611.336,2988.477,3970.129
Csb1,Microbial Defense,CRISPR,na,Archaea;phylum,1877.99,1742.486,1790.85,1880.495,1916.893,2004.051,1463.537,2432.559,1640.381,1674.973,1309.973,1275.176,2026.684,1487.654,1805.495,3057.368,2032.545,1771.028,1851.557,2100.262,1917.03,1878.136,1563.105,1221.038,2396.703,2080.257,1898.68,2017.636,1968.691,1975.333,2050.781,2056.109,2683.062,2009.748,2174.705,1745.13,1973.841,1944.555,1869.689,1889.972,1876.137,1968.18,2134.935,2086.889,2830.839,2051.434,2015.41,2213.999
Cse2,Microbial Defense,CRISPR,na,Archaea;phylum,4157.729,3892.8549,4008.034,4061.152,4068.361,3851.2844,3421.4534,4315.175,4132.197,4194.8945,3723.2703,3499.5633,4196.073,3566.0182,3470.0685,5740.863,3893.703,4341.357,4051.876,4226.311,4559.422,4568.681,3998.0471,4164.873,4340.601,4276.464,3639.7385,4395.292,4581.439,4486.501,4267.045,4888.311,4098.406,3926.0814,4043.853,4251.229,4455.67,4110.561,4033.798,4330.594,4270.848,4941.858,4650.385,4258.956,4260.326,4581,4417.237,4520.589
Csx1,Microbial Defense,CRISPR,na,Archaea;phylum,1244.718,1424.506,0,1342.418,1634.798,1418.303,1083.224,1570.528,1265.88,1314.242,1231.794,1403.112,1351.045,1096.116,1204.016,1733.394,992.7566,1578.202,1627.21,1391.552,1581.972,1504.456,1183.308,1341.238,1278.044,1623.993,1321.952,1543.416,1553.495,1881.749,1538.852,1677.88,1453.569,1237.563,1085.408,1130.111,3206.084,1376.44,1167.711,1567.34,1461.984,1445.791,1488.272,1612.288,1602.551,1474.716,1548.386,1537.35
Csx15,Microbial Defense,CRISPR,na,Bacteria;phylum,1826.647,2254.076,2341.821,2350.027,1921.44,1835.145,2185.234,1761.249,1157.047,2570.393,2181.162,2026.021,2054.932,2245.369,2215.402,1802.61,1588.739,1526.962,1796.932,1865.089,1605.407,1424.026,1824.156,1480.512,1790.214,1265.206,1998.138,1659.222,1416.216,870.9522,1728.753,1535.298,1162.093,2113.776,1919.922,2119.6,1277.786,2016.496,2754.775,1656.516,1401.914,1484.843,1364.066,1617.414,1533.032,1727.551,1916.49,1676.185
Csy2,Microbial Defense,CRISPR,na,Bacteria;phylum,1252.58,1248.204,1448.218,1541.633,1728.564,1611.059,1611.7,1368.139,1053.32,1093.165,1163.852,1252.291,1183.359,1415.235,1625.179,1589.12,1120.701,1062.424,1211.079,1250.57,1556.05,1429.823,1005.478,1074.004,1218.95,1307.645,1626.904,1927.212,1308.556,1523.199,2128.588,1418.949,1003.278,1258.326,1683.149,1340.672,1534.019,1755.537,1374.497,1556.901,1279.331,1217.532,821.7799,1238.418,1305.839,1312.799,1359.095,1435.287
Mex,Microbial Defense,Antibiotic resistance,Transporter,Bacteria;,364548.6453,372825.4681,374727.4257,368198.708,357443.5375,375704.4731,367307.6075,330760.1379,344805.5683,355054.099,373902.5974,357562.9668,346222.0428,359315.6674,362932.0285,312287.3969,332780.8646,344015.0027,351847.5112,354982.6104,342304.1206,355409.8796,346931.8572,336430.296,341441.4458,336059.1118,350927.8597,351994.4107,337753.0472,346762.9425,349748.7785,342246.8791,310134.516,365110.1148,376723.8432,361266.1718,344628.7,373530.5999,371149.0656,372894.2794,348400.4228,348373.1721,348856.217,350399.4359,318720.6981,350388.0972,346378.7219,339398.9828
MFS_antibiotic,Microbial Defense,Antibiotic resistance,Transporter,,860057.2108,910316.9359,883713.5958,886879.5451,863537.5485,876679.4425,905965.5598,804593.1503,760862.4925,858780.8936,859478.9483,867539.5497,883925.5503,871398.1646,903040.1209,718185.6299,823493.1245,856761.047,884427.9367,887764.5285,852838.383,851493.3403,857088.7901,834759.3933,791218.825,810765.3973,863955.1056,814940.9647,777230.5601,823693.6449,838772.2713,839018.4226,807224.4527,931516.4787,898960.0691,885289.6707,831956.207,930861.1883,931316.3846,901106.4052,875061.7045,831361.0438,835367.3686,817410.387,803826.0637,860432.133,838444.3878,825290.0762
PcbC,Microbial Defense,Antimicrobial biosysnthesis,Penicillin,Bacteria;phylum,7792.081,8535.179,7833.283,8454.458,8445.3,8261.118,7809.936,10056.962,8138.238,9774.787,8049.1122,9236.5789,10908.357,8789.373,9723.378,10141.567,9343.621,11101.058,12184.233,11796.396,11695.37,10855.006,9102.411,9905.19,9579.733,10572.739,8635.712,8729.415,9584.313,9398.308,8933.77,9782.483,12615.801,9435.424,7712.9039,9297.108,11209.284,9628.678,7783.6052,9563.0389,10247.518,9883.18,10908.35,9581.999,11067.884,9214.36,8192.185,10142.984
PhzA,Microbial Defense,Antimicrobial biosysnthesis,Phenazine,Bacteria;phylum,5029.088,5042.632,4792.939,4188.962,4387.862,4724.524,4351.283,6477.253,4565.856,4743.259,3663.427,4017.911,4776.19,5018.32,4814.88,6246.261,3963.233,5016.174,4983.369,5076.134,4632.967,5114.617,4176.667,4016.58,5024.851,4659.024,4312.085,3782.557,3742.515,4191.426,4355.569,4115.558,5933.543,5373.635,4601.157,4739.955,5005.471,4785.416,4480.723,4604.641,4882.276,5027.101,4259.914,3884.251,4282.353,5142.067,4657.036,4530.909
PhzF,Microbial Defense,Antimicrobial biosysnthesis,Phenazine,Archaea;phylum,9323.8038,9754.2836,8519.496,9827.7377,10279.9644,8379.251,7979.11,11830.9576,9264.781,10600.8305,8208.164,8523.146,10491.7388,9541.318,8882.514,13434.6438,10402.489,11619.478,10435.8005,10299.228,11347.3648,11121.3481,10450.223,11595.3094,12129.9404,12069.7136,10698.1412,10046.348,14256.5236,9765.6224,13183.7712,12214.9383,13129.785,10737.6108,9525.6941,10438.0262,10628.835,10454.4954,10042.9928,11294.8479,10149.1519,11115.1672,11553.4511,12029.4691,11036.9866,12383.2745,11187.2416,12270.7195
PrnD,Microbial Defense,Antimicrobial biosysnthesis,Pyrrolnitrin,Bacteria;,2196.142,1920.459,1938.596,2046.192,2599.231,2391.296,1973.345,2363.239,2247.081,2574.427,1611.339,1988.896,2468.65,2136.039,2018.246,3708.445,2567.006,2881.353,2480.237,2539.076,2637.094,2714.229,2590.223,2694.627,2341.387,3053.936,1955.415,2783.47,2757.305,2682.303,2746.404,3010.523,3597.143,2448.88,2200.13,2401.143,2466.279,2461.485,2482.796,2557.261,2112.978,2964.823,2990.863,2907.269,2781.065,3269.986,2506.39,3058.587
SMR_antibiotics,Microbial Defense,Antibiotic resistance,Transporter,,26709.6651,26481.4741,29022.373,27101.0956,27360.49,27564.8308,28349.6678,25304.4152,23644.837,26565.597,26498.1649,26392.5177,25733.9006,25880.8436,28746.904,28423.9008,24904.4449,25592.1587,24946.5567,26985.082,27028.2403,25465.3137,26261.1651,26941.0264,24439.4262,26225.2218,27528.4182,26590.3158,25594.1913,24924.707,25074.8062,25592.7118,24703.702,25895.2142,27929.415,26578.3042,26127.4264,26871.166,30383.1529,28492.9957,25709.3186,25062.6518,27496.3741,28584.7521,23994.8453,21972.4416,26361.8332,26361.4188
Vgb,Microbial Defense,Antibiotic resistance,Degradation,,839.4962308,593.7749288,571.0140103,0,734.6073354,0,754.1371245,0,0,0,0,0,892.2693806,0,0,691.5182598,0,621.6887991,733.9950562,771.4471754,1241.363558,741.4143285,0,0,636.7906012,832.9232185,664.6857045,900.7668267,717.5596789,0,0,924.736877,629.7656399,635.6606108,0,671.2706676,1037.097593,564.4980232,0,882.4380115,620.975819,721.2045493,758.7933863,0,0,0,826.1005738,758.7484081
Amoa,N Cycling,Nitrification,na,Archaea;,2160.757,2030.769,2629.289,2392.529,2156.188,2612.257,2469.115,2061.022,1768.56,1936.953,2137.354,2222.03,2083.642,2260.029,2865.213,2148.08,2112.412,1768.225,1908.822,1685.065,1675.854,1846.206,1937.131,1839.863,1754.429,1524.729,1736.148,1719.111,1348.46,1592.581,1408.319,1563.833,1576.437,2269.125,2488.991,2329.304,1550.426,2237.489,2542.505,2215.127,2154.827,1711.308,1721.997,1801.542,1914.187,1798.268,1869.041,1808.903
Amoa_quasi,N Cycling,Nitrification,na,Archaea;,3538.624,3277.603,3173.37,3281.325,4004.777,5212.074,3146.036,5357.086,4658.064,4244.069,3401.195,3995.909,5898.744,3518.522,4528.767,3100.858,6061.596,6715.597,4706.345,5384.041,4620.276,4503.662,5725.817,4383.112,7274.667,4994.491,3789.342,3753.023,4053.887,3775.056,3585.422,4821.128,5609.741,5874.654,3548.42,3316.844,5184.887,3429.895,3307.022,4368.655,3418.651,4882.281,4979.068,4260.341,4212.58,4049.167,3779.488,4287.405
gdh,N Cycling,Ammonification,na,Archaea;phylum,2134.589,2172.0973,2089.23,2064.2929,2521.071,2252.6924,2065.954,3261.107,2443.561,2857.828,1262.213,2571.9633,2707.685,1901.1242,2430.583,3679.149,2862.885,2992.823,2708.577,3038.958,2708.362,2828.072,2524.948,2419.858,2708.0004,2935.039,2395.5765,2514.195,3068.2,3177.556,3161.516,3282.082,3081.5798,2614.108,2305.0576,2209.398,2755.58,2253.905,2301.929,1932.3434,2844.048,2478.699,2919.574,2632.0281,3382.576,2733.224,2452.219,2465.451
Hao,N Cycling,Nitrification,na,Bacteria;,4619.803,4468.223,4799,4902.379,4011.109,4539.04,4994.615,3890.032,3712.476,4129.846,4433.468,4541.565,3938.214,4415.586,4591.653,4675.997,3543.964,4073.731,3813.36,3955.523,4022.793,3867.084,4405.247,3795.626,3502.268,3335.992,5026.978,3475.075,3102.785,3714.753,3276.058,3460.9,3229.505,4639.1,4677.971,4842.159,3766.333,4958.899,4634.404,4446.596,4006.233,3855.776,3614.311,4041.83,4157.484,3710.021,3401.784,3847.946
Napa,N Cycling,Dissimilatory N reduction,na,,853.001,832.425,849.7622,669.7918,675.6874,1107.586,961.9222,770.314,0,863.3498,928.597,869.8149,643.0497,1110.328,935.7053,774.8137,0,736.8523,827.5368,793.6052,787.9564,650.5222,813.94,0,0,723.2385,798.1906,667.5427,991.3862,1043.253,815.9358,792.7286,702.8308,850.0826,734.2205,712.3103,835.0632,738.5338,831.6824,1049.602,688.7816,876.2348,823.6499,935.3086,904.4544,966.7172,748.3779,771.8936
Narb,N Cycling,Assimilatory N reduction,na,Archaea;,3133.908,3370.479,3257.772,3539.968,3325.701,3075.548,4103.941,2998.167,2910.389,4230.958,3144.077,3298.71,3741.77,3502.604,5105.591,3311.358,3336.543,3310.773,3031.53,3577.624,3319.54,3085.829,3798.815,3055.169,3580.001,3337.382,3282.205,4046.527,3396.303,3616.044,3776.029,2982.364,2916.213,3320.795,3172.207,3345.895,3042.805,3376.966,4399.994,3045.66,3062.314,3079.026,3222.896,2898.401,3176.126,3395.723,3226.274,3550.88
Narg,N Cycling,Denitrification,na,,97883.6668,99954.7329,97663.4181,99042.5916,100381.2435,103190.4529,99478.4558,98301.3856,100449.788,105713.3586,100874.354,99882.719,104419.0223,98719.9651,100620.0569,103549.4542,102311.713,105343.3349,103111.8694,102298.6107,108427.0031,108340.1915,100149.0273,109133.9186,100619.3272,104281.0088,97704.38,106777.3125,110558.2623,102707.511,103154.4734,102983.1187,99983.3118,100472.9617,93746.7343,98098.0755,105627.4506,97420.5375,94443.868,109689.378,103544.5535,105463.7466,102449.3683,105656.3683,102953.966,99469.5814,100382.5547,105008.6367
Nirb,N Cycling,Assimilatory N reduction,na,Bacteria;phylum,2209.645,1991.764,1964.08,1944.164,1823.497,1839.899,2716.297,1929.075,1420.893,2025.877,2467.429,3025.183,1509.358,1945.767,2934.485,1459.968,1615.899,1058.033,1568.429,2208.141,1128.587,1496.872,1817.112,1346.959,1575.118,1119.686,2817.71,2055.077,1764.929,1562.327,688.2984,1080.088,1905.867,1980.755,1922.983,2059.505,1371.052,1672.882,1365.875,1875.832,2864.836,1259.969,1181.652,2971.702,2172.432,3298.361,1944.701,2517.382
Nirk,N Cycling,Denitrification,na,Archaea;phylum,9158.987,8716.874,8491.972,8332.728,8579.357,8899.039,8831.522,11414.303,10855.364,11027.264,8523.76,10320.182,9252.225,9486.241,9198.022,11990.664,8564.492,10187.747,10528.426,9955.659,9783.802,10820.647,8150.605,8825.594,10570.194,9499.085,9304.214,9468.569,10679.001,8963.174,8553.44,9302.983,9957.69,7906.951,9046.081,7329.25,10209.741,7498.555,6850.824,8327.684,9888.184,9820.232,9361.051,8807.633,10430.619,8105.84,8057.829,10727.462
Nirs,N Cycling,Denitrification,na,,4958.42,5689.11,5695.305,5357.681,4982.9793,5250.862,5620.435,5413.995,5263.907,5257.863,5600.17,6125.707,4261.82,5974.353,5586.265,3548.3342,4365.206,4374.9468,4457.842,4071.62,4131.037,4693.9887,4490.681,4194.9657,4786.084,4265.02,5765.21,4428.117,4328.8524,4731.2764,4407.42,3953.9245,4489.3648,4182.136,5409.432,4717.538,4198.456,4539.227,4564.192,4678.655,5085.89,4161.8602,4111.6982,3797.545,3772.101,4555.103,5983.97,4550.2
Norb,N Cycling,Denitrification,na,Archaea;phylum,1425.183,1361.739,1635.665,1419.408,1515.326,1593.75,1360.143,1426.335,1511.46,1583.809,1356.399,1423.809,1318.535,1508.074,1697.798,1604.796,1299.344,1204.975,1549.7,1144.589,1363.186,1618.894,1522.445,1087.971,1221.279,1502.683,1406.839,1856.331,1617.667,1337.428,1485.59,1676.509,877.3185,1331.304,1359.641,1202.824,1184.289,1361.36,1212.928,1236.397,1260.95,1247.185,1696.457,2075.473,1036.96,1613.624,1519.352,1473.577
Nrfa,N Cycling,Dissimilatory N reduction,na,Bacteria;,7362.33,6407.134,5527.417,5986.408,5562.991,7274.351,6718.479,5180.139,6180.031,8154.896,8787.268,7381.908,7141.467,7404.322,9527.202,4275.5254,8116.631,7048.164,10201.043,7340.9145,8136.113,7558.5226,9752.713,9559.9625,7800.2624,7716.98,10987.452,8946.635,7317.031,10524.7969,6926.8608,8472.9366,6036.5525,6745.69,5693.6692,5857.366,7049.6142,6551.961,7464.468,7553.105,7423.5624,6984.815,9629.873,9366.444,5532.894,8317.7987,10758.008,7420.3487
Urec,N Cycling,Ammonification,na,,10802.6313,9425.2406,10114.1684,10703.3589,10635.6513,10579.1233,9951.3632,12051.0675,11012.353,9747.9444,9343.9251,9196.957,9647.252,9825.8794,9389.6822,11024.5029,9380.5981,12219.2694,10971.8221,11791.9726,10918.6594,9987.073,7482.7237,8150.2116,13064.4043,11540.4845,10463.2524,10706.0512,11878.6288,10637.746,11317.0453,11598.6072,11100.0082,12421.3872,10662.1033,10727.4203,10689.2042,11743.2619,8982.3858,11220.7862,11145.8114,11873.0139,10754.1701,10331.463,9336.3288,11249.6751,10785.8706,11755.0482
Arylest,Organic Contaminant Degradation,Aromatics,Other aromatics,Archaea;phylum,4136.279,3942.021,3955.232,4016.576,4595.486,3934.963,3242.41,4707.05,4495.436,3998.838,3209.898,3447.493,3998.35,4007.103,4012.34,5315.565,3587.273,4147.175,4050.931,4210.368,3913.319,4651.731,3498.433,4433.555,4256.678,5198.204,3589.673,4247.689,4825.728,4525.181,4373.281,4663.847,4780.319,4076.905,3838.473,3987.027,5099.58,4222.553,3709.866,4575.636,3541.048,4408.423,4296.272,3801.424,3735.567,3807.302,4448.211,4317.118
Atzb,Organic Contaminant Degradation,Herbicides related compound,na,Bacteria;phylum,0,0,754.0776,592.4185,705.5743,728.4345,709.6376,0,0,553.5821,0,621.7568,902.4117,0,697.938,683.7451,0,804.657,661.2082,788.3722,792.0323,596.2204,726.0508,0,672.0085,0,673.4655,811.586,0,844.2569,829.7667,0,529.1359,0,653.6588,675.9728,733.3169,0,671.8754,686.0933,702.0355,931.7309,750.8256,0,0,629.8829,646.0765,0
